X [m],Y [m],Z [m],Heat Transfer Coefficient [W/m^2/K]
0.0035,0.0045,0.003,2.300037703
0.0035,0.0055,0,6.330058654
0.0035,0.0055,0.003,2.356245644
0.0035,0.0065,0,6.28540324
0.0035,0.0065,0.003,2.412453585
0.0035,0.0075,0,6.240747827
0.0035,0.0075,0.003,2.468661526
0.0035,0.0085,0,6.169003487
0.0035,0.0085,0.003,2.446307817
0.0035,0.0095,0,6.083237892
0.0035,0.0095,0.003,2.38329052
0.0035,0.0105,0,5.997472297
0.0035,0.0105,0.003,2.320273222
0.0035,0.0115,0,5.911706701
0.0035,0.0115,0.003,2.257255924
0.0035,0.0125,0,5.807367368
0.0035,0.0125,0.003,2.196084979
0.0035,0.0135,0,5.696465941
0.0035,0.0135,0.003,2.135566349
0.0035,0.0145,0,5.585564515
0.0035,0.0145,0.003,2.075047719
0.0035,0.0155,0,5.474663089
0.0035,0.0155,0.003,2.014529089
0.0035,0.0165,0,5.361967995
0.0035,0.0165,0.003,2.066902347
0.0035,0.0175,0,5.248876325
0.0035,0.0175,0.003,2.144235837
0.0035,0.0185,0,5.135784654
0.0035,0.0185,0.003,2.221569327
0.0035,0.0195,0,5.022692983
0.0035,0.0195,0.003,2.298902818
0.0035,0.0205,0,4.948393486
0.0035,0.0205,0.003,2.432988052
0.0035,0.0215,0,4.878455309
0.0035,0.0215,0.003,2.57345376
0.0035,0.0225,0,4.808517132
0.0035,0.0225,0.003,2.713919469
0.0035,0.0235,0,4.738578955
0.0035,0.0235,0.003,2.854385178
0.0035,0.0245,0,4.688417007
0.0035,0.0245,0.003,2.871455823
0.0035,0.0255,0,4.638680614
0.0035,0.0255,0.003,2.885871183
0.0035,0.0265,0,4.588944222
0.0035,0.0265,0.003,2.900286542
0.0035,0.0275,0,4.537177981
0.0035,0.0275,0.003,2.906106638
0.0035,0.0285,0,4.45299928
0.0035,0.0285,0.003,2.774678193
0.0035,0.0295,0,4.368820579
0.0035,0.0295,0.003,2.643249749
0.0035,0.0305,0,4.284641878
0.0035,0.0305,0.003,2.511821305
0.0035,0.0315,0,4.198430305
0.0035,0.0315,0.003,2.38080308
0.0035,0.0325,0,4.099619756
0.0035,0.0325,0.003,2.252327238
